Landing Page,Month of Year,Sessions,New Users,Bounces,Pageviews,Avg. Session Duration,Transactions
/content15,201707,"2,766","1,635",748,"12,834",0:04:17,2
/content15,201708,"3,367","2,050",891,"15,354",0:04:30,4
/content15,201709,"4,428","2,696","1,180","19,660",0:04:37,3
/content15,201710,"6,891","4,204","1,976","29,838",0:04:13,4
/content16,201702,843,420,157,"5,539",0:06:08,2
/content16,201703,"1,531",850,305,"9,783",0:06:00,2
/content16,201704,"2,028","1,142",370,"13,588",0:06:49,1
/content16,201707,"2,306","1,236",588,"12,568",0:04:59,2
/content16,201705,"3,185","1,747",565,"20,862",0:06:39,5
/content16,201706,"4,040","2,187",773,"23,149",0:06:04,4
/content17,201701,853,444,158,"5,826",0:07:10,2
/content17,201706,873,449,180,"4,898",0:05:54,2
/content17,201702,"1,032",553,191,"6,522",0:06:15,1
/content17,201703,"1,718","1,018",304,"10,978",0:06:27,1
/content17,201704,"2,315","1,300",440,"15,024",0:06:26,5
/content17,201705,"2,791","1,482",474,"16,886",0:06:07,2
/content18,201705,"8,115","2,944","1,037","62,567",0:07:35,13
/content18,201702,"24,196","9,626","3,383","199,375",0:08:33,33
/content18,201703,"26,450","10,256","2,777","214,245",0:08:30,60
/content18,201704,"28,642","11,245","3,680","227,704",0:08:07,47
/content18,201701,"46,707","19,184","5,993","387,668",0:08:58,81
/content19,201710,"3,527","1,663",998,"20,174",0:06:06,24
/content19,201709,"3,993","1,666",960,"24,238",0:06:19,25
/content19,201708,"4,028","1,795",927,"26,343",0:06:46,32
/content19,201706,"4,547","1,962",866,"31,238",0:07:18,46
/content19,201702,"4,750","2,020","1,090","34,105",0:07:40,37
/content19,201704,"4,906","2,120",826,"41,652",0:08:30,55
/content19,201707,"5,181","2,273","1,113","33,987",0:06:40,43
/content19,201705,"5,412","2,328",916,"41,077",0:07:52,40
/content19,201703,"6,559","2,581","1,098","49,127",0:08:01,62
/content19,201701,"12,127","4,547","2,858","80,523",0:07:24,84
/content2,201701,"1,127",640,790,"2,592",0:01:34,0
/content20,201708,"1,111",647,252,"5,711",0:05:22,1
/content20,201703,"1,175",626,256,"6,745",0:05:44,2
/content20,201709,"1,486",885,349,"7,445",0:05:17,5
/content20,201710,"2,045","1,230",497,"10,450",0:05:27,1
/content20,201702,"3,062","1,630",621,"16,382",0:05:35,2
/content20,201701,"3,396","1,957",808,"17,557",0:05:37,3
/content21,201702,951,587,410,"3,909",0:04:13,0
/content21,201701,"1,068",649,459,"4,283",0:03:58,0
/content21,201704,"1,243",763,442,"5,979",0:05:06,1
/content21,201703,"1,333",823,505,"6,505",0:05:13,0
/content22,201707,"1,443",715,355,"6,941",0:04:41,0
/content22,201708,"1,690",907,519,"7,554",0:04:26,0
/content22,201709,"2,473","1,376",759,"10,807",0:04:27,4
/content22,201710,"3,535","1,916","1,025","15,872",0:04:34,4
/content23,201705,"1,089",587,245,"6,186",0:05:53,0
/content23,201706,"1,601",839,411,"8,757",0:06:09,4
/content23,201710,"1,910","1,002",524,"10,371",0:04:54,5
/content23,201707,"3,822","1,946",961,"20,180",0:05:44,6
/content23,201709,"4,310","2,369","1,123","22,283",0:05:34,6
/content23,201708,"4,486","2,417","1,118","23,327",0:05:36,4
/content24,201708,"2,163","1,825","1,955","2,639",0:00:22,0
/content25,201701,"1,319",8,381,"12,385",0:07:20,19
/content26,201710,"1,842",898,279,"13,097",0:07:11,9
/content26,201709,"2,729","1,343",492,"18,721",0:06:50,12
/content26,201708,"3,820","1,803",501,"28,344",0:06:59,11
/content26,201702,"4,630","2,239",639,"41,439",0:08:03,12
/content26,201703,"5,446","2,556",656,"41,880",0:07:36,21
/content26,201704,"5,576","2,653",695,"42,155",0:07:34,18
/content26,201706,"6,465","3,003",814,"44,673",0:06:34,14
/content26,201707,"6,519","3,103",914,"45,177",0:06:28,6
/content26,201705,"7,373","3,452",841,"54,708",0:07:08,9
/content26,201701,"10,329","5,155","1,435","89,139",0:08:07,31
/content27,201703,"2,285","1,159",508,"12,385",0:05:18,0
/content27,201709,"2,508","1,207",607,"13,669",0:06:12,7
/content27,201704,"3,189","1,679",651,"18,560",0:05:53,2
/content27,201702,"3,564","1,856","1,086","18,355",0:05:10,0
/content27,201701,"4,358","2,238","1,503","20,352",0:04:35,0
/content27,201705,"5,895","3,003","1,196","32,776",0:05:55,5
/content27,201706,"9,306","4,494","1,825","50,718",0:05:53,6
/content27,201708,"12,266","5,877","2,339","67,586",0:05:48,10
/content27,201707,"28,565","12,931","5,456","147,395",0:05:25,34
/content28,201706,885,236,427,"4,806",0:04:18,1
/content28,201704,893,257,457,"4,608",0:04:15,4
/content28,201708,"1,004",224,536,"4,157",0:03:30,3
/content28,201705,"1,026",303,559,"4,894",0:04:02,0
/content28,201707,"1,390",318,816,"4,601",0:03:00,2
/content28,201709,"3,725","1,777","2,604","8,307",0:01:11,1
/content28,201710,"6,332","1,823","4,120","20,199",0:02:53,7
/content29,201702,963,354,46,"4,276",0:04:35,7
/content29,201701,"8,749","3,817",374,"36,746",0:04:06,22
/content3,201710,"1,044",630,321,"5,304",0:05:08,0
/content3,201704,"1,191",704,319,"6,682",0:05:38,5
/content3,201702,"3,887","2,189",893,"21,651",0:05:36,6
/content3,201701,"3,918","2,336",998,"20,961",0:05:43,6
/content3,201703,"5,258","2,964","1,217","30,339",0:05:42,8
/content30,201703,"13,508","7,378","3,499","54,167",0:04:01,10
/content30,201702,"15,838","9,632","4,553","62,877",0:04:02,16
/content30,201701,"18,530","11,322","4,555","78,382",0:04:32,32
/content4,201702,952,505,226,"5,550",0:05:50,1
/content4,201703,"1,722",915,296,"11,021",0:06:18,1
/content4,201704,"2,394","1,359",460,"15,346",0:05:59,1
/content4,201705,"3,871","2,129",740,"24,465",0:06:21,5
/content4,201708,"5,133","2,659","1,268","28,899",0:04:58,3
/content4,201706,"5,390","2,909","1,045","31,424",0:05:46,4
/content4,201707,"10,926","5,440","2,272","63,152",0:05:37,9
/content5,201706,862,475,272,"4,069",0:03:59,0
/content5,201708,"1,101",596,406,"4,932",0:03:31,1
/content5,201707,"1,492",741,471,"7,057",0:04:17,2
/content5,201701,"6,429","4,048","3,418","19,866",0:02:38,4
/content6,201705,931,539,272,"4,003",0:04:49,2
/content6,201704,"3,414","1,473","1,241","15,465",0:04:35,8
/content7,201704,790,420,346,"3,460",0:04:21,4
/content7,201703,797,409,380,"3,483",0:04:38,9
/content7,201702,828,420,470,"2,774",0:03:34,4
/content7,201705,"1,169",631,533,"4,921",0:04:33,6
/content7,201706,"1,203",619,543,"4,475",0:03:21,2
/content7,201708,"1,288",731,760,"4,379",0:02:59,1
/content7,201701,"1,449",724,879,"4,927",0:03:34,16
/content7,201710,"1,684",713,"1,035","5,321",0:03:07,3
/content7,201707,"1,785",996,956,"5,712",0:02:49,5
/content8,201702,"7,036","1,407","2,675","42,005",0:05:36,40
/content8,201701,"7,683","1,556","2,813","45,637",0:05:43,71
/content8,201703,"8,064","1,769","3,153","48,061",0:05:19,41
/content8,201704,"9,163","1,926","3,497","54,337",0:05:28,46
/content8,201709,"11,817","2,662","4,384","61,212",0:04:33,39
/content8,201705,"13,053","2,755","5,074","79,101",0:05:29,51
/content8,201708,"13,244","2,896","4,830","73,504",0:05:02,53
/content8,201706,"13,952","2,988","5,542","80,084",0:05:19,35
/content8,201707,"15,034","3,323","5,451","87,197",0:05:17,42
/content8,201710,"16,643","3,612","5,960",Null,0:05:12,46
/content9,201703,814,408,244,"4,135",0:04:19,0
/content9,201702,983,504,349,"4,561",0:03:58,1
/content9,201705,"1,285",652,398,"6,374",0:04:09,0
/content9,201701,"1,562",816,524,"7,810",0:04:07,0
/content9,201706,"1,939",984,564,"9,656",0:04:34,1
/content9,201707,"3,103","1,671","1,004","13,870",0:03:56,1
/content9,201708,"4,113","2,261","1,276","18,262",0:04:09,4
/content9,201709,"5,031","2,880","1,587","22,539",0:04:17,1
/content9,201710,"6,465","3,894","1,848","29,610",0:04:15,6
/global,201710,"6,513","4,592","3,214","22,991",0:02:57,0
/global,201709,"6,893","4,746","3,447","24,263",0:03:00,1
/global,201708,"9,883","6,361","4,502","39,730",0:03:23,3
/global,201706,"11,394","7,153","4,932","48,083",0:03:53,9
/global,201704,"11,484","7,111","4,552","54,549",0:04:24,5
/global,201705,"12,457","7,564","4,997","59,794",0:04:25,7
/global,201703,"12,763","8,223","5,276","58,710",0:04:16,7
/global,201707,"15,679","9,871","7,194","63,343",0:03:36,4
/global,201701,"20,633","12,583","8,140","92,023",0:04:10,12
/global/country1,201708,964,533,359,"4,087",0:03:42,0
/global/country1,201707,968,521,343,"3,959",0:03:24,0
/global/country1/region1,201702,"2,369","1,307",380,"12,319",0:05:02,0
/global/country1/region1,201710,"2,856","1,595",218,"15,908",0:04:46,1
/global/country1/region1,201709,"3,086","1,678",247,"17,035",0:04:54,1
/global/country1/region1,201708,"3,226","1,612",250,"18,388",0:05:07,3
/global/country1/region1,201703,"3,270","1,775",497,"17,102",0:05:03,0
/global/country1/region1,201701,"3,300","1,850",603,"17,556",0:04:35,1
/global/country1/region1,201706,"3,412","1,781",359,"18,220",0:04:40,2
/global/country1/region1,201705,"3,597","1,872",476,"19,316",0:04:54,1
/global/country1/region1,201707,"3,705","1,906",335,"20,933",0:05:03,3
/global/country1/region1,201704,"4,157","2,328",630,"21,783",0:04:46,1
/global/country1/region1/resort1,201701,919,537,179,"4,558",0:03:59,0
/global/country10,201702,830,Null,409,"2,540",0:02:24,0
/global/country10,201709,"1,029",520,86,"5,289",0:03:49,1
/global/country10,201701,"1,825",924,748,"6,169",0:02:50,0
/global/country10,201710,"1,827",966,292,"8,916",0:03:36,1
/global/country11,201710,"23,286","12,339","4,606","120,389",0:05:03,22
/global/country11,201709,"31,531","16,072","5,531","170,898",0:05:20,39
/global/country11,201708,"60,501","29,834","9,178","336,991",0:05:16,59
/global/country11,201704,"73,864","36,739","12,254","401,820",0:05:19,91
/global/country11,201703,"79,553","39,952","17,740","405,720",0:04:57,84
/global/country11,201706,"80,953","39,630","12,807","417,717",0:05:00,93
/global/country11,201702,"100,591","50,062","29,594","467,748",0:04:31,74
/global/country11,201702,"100,591","50,062","29,594","467,748",0:04:31,74
/global/country11,201705,"100,745","49,962","15,243","541,001",0:05:09,94
/global/country11,201707,"104,034",Null,"15,147","555,542",0:04:56,96
/global/country11,201701,"132,740","68,161","38,946","670,337",0:04:22,98
/global/country11/region1,201710,"1,413",701,210,"7,885",0:06:03,5
/global/country11/region1,201709,"2,072",983,242,"12,100",0:06:18,5
/global/country11/region1,201708,"4,106","1,818",431,"22,583",0:05:20,8
/global/country11/region1,201705,"5,286","2,438",Null,"29,549",0:06:04,17
/global/country11/region1,201707,"5,349","2,285",554,"29,152",0:05:29,20
/global/country11/region1,201706,"5,540","2,460",598,"30,082",0:05:43,19
/global/country11/region1,201704,"8,484","4,005","1,234","43,947",0:05:18,32
/global/country11/region1,201703,"10,364","5,026","1,696","52,131",0:05:00,34
/global/country11/region1,201702,"10,898","5,152","2,101","54,054",0:05:20,30
/global/country11/region1,201701,"14,986","7,177","3,098","78,377",0:05:25,45
/global/country11/region1/resort1,201708,794,424,121,"4,018",0:03:51,1
/global/country11/region1/resort1,201706,889,379,123,"4,818",0:04:35,1
/global/country11/region1/resort1,201707,"1,343",669,189,"6,634",0:04:14,1
/global/country11/region10,201710,"5,635","3,043",825,"28,344",0:04:26,7
/global/country11/region10,201709,"9,002","4,567","1,301","44,200",0:04:09,9
/global/country11/region10,201704,"13,416","6,514","2,110","65,470",0:04:22,30
/global/country11/region10,201703,"13,439","6,629","2,531","63,701",0:04:30,28
/global/country11/region10,201708,"14,294","6,714","1,867","69,755",0:03:57,24
/global/country11/region10,201702,"15,269","7,488","3,037","72,833",0:04:38,32
/global/country11/region10,201706,"17,872","8,450","2,595","83,820",0:03:51,34
/global/country11/region10,201705,"18,195","8,762","2,707","88,064",0:04:06,27
/global/country11/region10,201707,"19,471","9,290","2,742","92,877",0:03:50,32
/global/country11/region10,201701,"27,509","14,176","6,129","138,920",0:04:42,63
/global/country11/region10/resort1,201706,928,338,150,"4,492",0:04:14,1
/global/country11/region10/resort1,201705,999,363,196,"4,196",0:03:32,0
/global/country11/region10/resort2,201708,792,379,203,"3,580",0:04:02,1
/global/country11/region10/resort2,201704,"1,206",533,188,"6,307",0:04:56,2
/global/country11/region10/resort2,201705,"1,330",585,199,"6,623",0:04:17,4
/global/country11/region10/resort2,201703,"1,347",628,221,"7,301",0:05:20,5
/global/country11/region10/resort2,201707,"1,364",621,276,"6,111",0:03:49,2
/global/country11/region10/resort2,201702,"1,425",629,271,"7,296",0:05:15,3
/global/country11/region10/resort2,201706,"1,489",661,240,"6,730",0:03:51,3
/global/country11/region10/resort2,201701,"2,860","1,355",470,"17,589",0:06:19,4
/global/country11/region2,201710,"4,965","2,475",907,"24,825",0:05:21,14
/global/country11/region2,201709,"8,534","4,112","1,196","44,035",0:05:25,27
/global/country11/region2,201708,"12,991","5,982","1,676","65,864",0:05:11,20
/global/country11/region2,201703,"13,491","7,112","2,736","64,892",0:05:19,31
/global/country11/region2,201702,"14,063","7,054","2,844","67,784",0:05:30,31
/global/country11/region2,201704,"14,643","7,163","2,213","74,386",0:05:27,34
/global/country11/region2,201707,"16,995","7,781","2,265","84,805",0:05:01,42
/global/country11/region2,201706,"19,794","8,828","2,805","94,219",0:04:55,38
/global/country11/region2,201705,"20,126","9,248","3,059","97,209",0:05:03,37
/global/country11/region2,201701,"20,665","10,684","4,552","105,185",0:05:33,36
/global/country11/region2/resort1,201709,832,389,105,"3,819",0:05:10,8
/global/country11/region2/resort1,201702,875,391,143,"3,929",0:05:11,6
/global/country11/region2/resort1,201703,948,446,174,"4,427",0:05:37,4
/global/country11/region2/resort1,201704,"1,043",505,154,"5,142",0:05:38,3
/global/country11/region2/resort1,201708,"1,124",494,114,"5,429",0:04:49,2
/global/country11/region2/resort1,201701,"1,167",550,267,"5,006",0:04:36,7
/global/country11/region2/resort1,201705,"1,261",596,203,"5,460",0:04:36,5
/global/country11/region2/resort1,201706,"1,313",587,205,"5,817",0:04:48,4
/global/country11/region2/resort1,201707,"1,342",584,199,"6,093",0:04:29,3
/global/country11/region2/resort2,201708,865,445,137,"4,403",0:04:06,0
/global/country11/region2/resort2,201704,"1,141",568,192,"5,910",0:05:27,1
/global/country11/region2/resort2,201703,"1,160",551,209,"6,229",0:05:59,3
/global/country11/region2/resort2,201702,"1,179",567,234,"6,225",0:05:55,1
/global/country11/region2/resort2,201705,"1,339",660,197,"7,177",Null,4
/global/country11/region2/resort2,201706,"1,727",874,276,"8,600",0:04:42,1
/global/country11/region2/resort2,201707,"1,937",996,313,"9,414",0:03:59,2
/global/country11/region2/resort2,201701,"6,210","3,037","1,497","30,429",0:04:38,6
/global/country11/region3,201710,800,397,183,"3,616",0:04:46,2
/global/country11/region3,201709,"1,105",510,224,"5,127",0:03:59,1
/global/country11/region3,201703,"1,832",842,394,"8,812",0:05:00,6
/global/country11/region3,201708,"1,880",889,362,"9,475",0:04:39,0
/global/country11/region3,201702,"1,932",935,416,"9,602",0:05:30,0
/global/country11/region3,201704,"2,249","1,096",485,"10,930",0:04:35,5
/global/country11/region3,201706,"2,458","1,158",438,"11,921",0:04:41,5
/global/country11/region3,201701,"2,556","1,278",599,"13,061",0:05:10,2
/global/country11/region3,201707,"2,709","1,302",561,"12,570",0:04:15,3
/global/country11/region3,201705,"2,814","1,346",551,"13,451",0:04:39,2
/global/country11/region4,201710,"3,014","1,546",529,"13,985",0:04:02,6
/global/country11/region4,201709,"5,036","2,516",746,"23,820",0:03:58,12
/global/country11/region4,201703,"6,963","3,618","1,177","32,587",0:04:33,27
/global/country11/region4,201702,"8,469","4,360","1,553","38,957",0:04:28,15
/global/country11/region4,201704,"8,778","4,594","1,353","42,661",0:04:26,25
/global/country11/region4,201708,"9,001","4,508","1,192","44,285",0:04:10,24
/global/country11/region4,201701,"9,226","5,107","1,830","44,377",0:04:33,29
/global/country11/region4,201705,"10,381","5,356","1,643","48,687",0:04:17,16
/global/country11/region4,201706,"10,753","5,511","1,657","48,926",0:04:04,26
/global/country11/region4,201707,"12,021","6,127","1,816","56,378",0:03:56,24
/global/country11/region5,201710,"2,428","1,116",396,"12,431",0:04:33,2
/global/country11/region5,201703,"3,527","1,596",519,"17,706",0:04:46,14
/global/country11/region5,201702,"3,849","1,769",695,"18,437",0:04:41,17
/global/country11/region5,201709,"4,032","1,630",477,"22,055",0:04:56,11
/global/country11/region5,201704,"4,228","2,045",593,"20,886",0:04:23,9
/global/country11/region5,201708,"5,543","2,258",585,"29,378",0:04:40,12
/global/country11/region5,201701,"5,806","2,747","1,075","31,643",0:05:04,9
/global/country11/region5,201705,"6,261","2,683",897,"30,554",0:04:11,10
/global/country11/region5,201706,"8,299","3,432","1,129","40,250",0:04:13,15
/global/country11/region5,201707,"9,370","4,209","1,329","44,695",0:03:55,20
/global/country11/region6,201710,"1,829","1,027",310,"8,633",0:04:15,0
/global/country11/region6,201709,"3,016","1,674",416,"14,326",0:03:35,4
/global/country11/region6,201705,"3,234","1,757",464,"15,976",0:04:42,5
/global/country11/region6,201708,"3,510","1,853",443,"17,129",0:03:48,2
/global/country11/region6,201706,"4,839","2,522",684,"23,082",0:04:19,3
/global/country11/region6,201707,"5,058","2,622",705,"24,430",0:03:52,3
/global/country11/region6,201704,"5,573","2,935","1,087","26,472",0:04:20,6
/global/country11/region6,201703,"6,959","3,797","1,554","31,037",0:04:15,9
/global/country11/region6,201702,"7,550","4,089","1,826","33,145",0:04:13,10
/global/country11/region6,201701,"9,945","5,495","2,158","49,128",0:04:25,10
/global/country11/region7,201710,"3,419","1,553",554,"17,232",0:04:45,7
/global/country11/region7,201709,"5,226","2,357",714,"27,750",0:05:11,18
/global/country11/region7,201703,"6,598","2,998",956,"34,046",0:05:33,25
/global/country11/region7,201704,"6,978","3,160",992,"36,704",0:05:24,19
/global/country11/region7,201702,"7,541","3,368","1,371","37,253",0:05:21,31
/global/country11/region7,201708,"8,057","3,432","1,076","41,735",0:04:45,21
/global/country11/region7,201705,"8,809","3,994","1,254","45,190",0:05:11,39
/global/country11/region7,201706,"9,239","4,043","1,364","44,809",0:04:43,20
/global/country11/region7,201707,"10,607","4,646","1,495","52,929",0:04:41,27
/global/country11/region7,201701,"10,620","4,970","2,281","55,118",0:05:21,37
/global/country11/region7/resort1,201709,"1,203",647,249,"5,269",0:03:59,1
/global/country11/region7/resort1,201703,"1,263",621,240,"5,797",0:04:51,1
/global/country11/region7/resort1,201702,"1,308",630,246,"6,121",0:04:54,0
/global/country11/region7/resort1,201704,"1,392",685,257,"6,306",0:04:07,3
/global/country11/region7/resort1,201706,"1,560",767,305,"6,880",0:04:23,2
/global/country11/region7/resort1,201708,"1,585",817,368,"6,768",0:03:46,2
/global/country11/region7/resort1,201705,"1,598",762,273,"7,335",0:04:24,0
/global/country11/region7/resort1,201707,"1,692",788,300,"7,614",0:04:22,1
/global/country11/region7/resort1,201701,"1,827",900,311,"9,464",0:05:13,3
/global/country11/region8,201709,"19,237","10,579","2,751","92,145",0:03:36,15
/global/country11/region8,201703,"22,736","12,626","3,883","106,177",0:04:18,29
/global/country11/region8,201702,"23,146","12,920","4,430","107,860",0:04:23,30
/global/country11/region8,201710,"24,502","14,488","4,352","110,994",0:03:28,13
/global/country11/region8,201704,"24,745","13,785","3,850","118,529",0:04:04,27
/global/country11/region8,201708,"25,591","13,670","3,350","125,908",0:03:39,16
/global/country11/region8,201701,"31,567","17,874","6,238","161,307",0:04:39,53
/global/country11/region8,201705,"32,370","17,706","4,881","152,139",0:03:55,20
/global/country11/region8,201706,"44,395","23,870","6,775","200,221",0:03:30,23
/global/country11/region8,201707,"45,455","24,266","6,273","213,184",0:03:35,27
/global/country11/region9,201710,"1,012",508,95,"5,384",0:05:04,2
/global/country11/region9,201705,"1,249",649,172,"5,983",0:04:14,3
/global/country11/region9,201709,"1,408",772,152,"7,392",0:04:49,2
/global/country11/region9,201706,"1,631",799,181,"8,383",0:04:37,4
/global/country11/region9,201708,"2,127","1,060",161,"11,337",0:04:38,7
/global/country11/region9,201707,"2,312","1,124",183,"12,508",0:04:46,2
/global/country11/region9,201704,"3,957","2,046",539,"18,558",0:04:15,11
/global/country11/region9,201703,"4,797","2,539",751,"22,210",0:04:13,13
/global/country11/region9,201702,"5,319","2,765",816,"24,627",0:04:28,8
/global/country11/region9,201701,"7,146","3,780","1,217","35,659",0:04:30,22
/global/country12/region1,201706,"2,879","1,607",356,"13,819",0:03:39,1
/global/country12/region1,201704,"3,372","1,906",421,"16,388",0:03:27,1
/global/country12/region1,201707,"3,904","2,193",436,"19,091",0:03:43,2
/global/country12/region1,201708,"4,096","2,269",436,"20,439",0:03:43,1
/global/country12/region1,201709,"4,372","2,482",496,"21,160",0:03:54,2
/global/country12/region1,201703,"4,384","2,555",548,"22,052",0:03:43,0
/global/country12/region1,201710,"5,025","2,914",604,"24,020",0:03:56,3
/global/country12/region1,201702,"5,028","2,806",756,"24,034",0:03:38,1
/global/country12/region1,201701,"6,926","3,981","1,188","34,630",0:03:43,2
/global/country13,201710,"1,884","1,172",494,"7,216",0:02:44,0
/global/country13/region1,201710,"1,609","1,002",281,"6,468",0:02:43,0
/global/country14,201710,"8,325","4,587","1,395","39,544",0:03:49,4
/global/country14,201709,"9,488","5,230","1,615","44,783",0:03:46,3
/global/country14,201708,"17,205","9,084","2,756","83,444",0:03:52,9
/global/country14,201703,"19,424","11,293","4,299","87,408",0:04:01,13
/global/country14,201704,"20,216","11,586","3,879","94,813",0:04:00,12
/global/country14,201702,"20,315","12,088","5,426","85,526",0:03:43,10
/global/country14,201706,"20,863","11,335","3,741","95,344",0:03:44,8
/global/country14,201705,"21,905","12,055","4,081","100,325",0:03:55,14
/global/country14,201707,"22,567","12,208","3,915","106,291",0:03:47,11
/global/country14,201701,"30,412","18,644","9,437","128,035",0:03:26,16
/global/country14/region1/resort1,201705,895,488,140,"4,171",0:04:19,0
/global/country14/region1/resort1,201707,903,483,109,"4,226",0:04:02,1
/global/country14/region1/resort1,201706,"1,000",541,140,"4,720",0:04:27,0
/global/country14/region1/resort2,201704,836,486,270,"2,968",0:02:30,0
/global/country14/region1/resort2,201703,843,499,335,"2,773",0:02:31,1
/global/country14/region1/resort2,201702,845,537,352,"2,738",0:02:25,0
/global/country14/region1/resort2,201705,"1,008",609,340,"3,266",0:02:20,1
/global/country14/region1/resort2,201706,"1,043",615,348,"3,651",0:02:23,0
/global/country14/region1/resort2,201708,"1,047",590,316,"3,926",0:02:31,0
/global/country14/region1/resort2,201707,"1,285",741,392,"4,806",0:02:43,1
/global/country14/region1/resort2,201701,"1,394",879,538,"4,977",0:02:45,0
/global/country14/region1/resort3,201710,789,476,170,"3,101",0:02:50,0
/global/country14/region1/resort3,201706,809,425,142,"3,438",0:03:18,0
/global/country14/region1/resort3,201707,822,440,147,"3,551",0:03:09,1
/global/country14/region1/resort3,201705,986,573,196,"4,102",0:03:06,0
/global/country14/region1/resort4,201710,"2,970","1,672",476,"13,721",0:04:10,3
/global/country14/region1/resort4,201709,"3,649","1,968",443,"17,077",0:04:03,7
/global/country14/region1/resort4,201703,"4,862","2,765",846,"22,268",0:04:31,10
/global/country14/region1/resort4,201702,"5,117","2,915",961,"23,078",0:04:27,6
/global/country14/region1/resort4,201708,"5,602","2,966",699,"26,217",0:03:47,4
/global/country14/region1/resort4,201704,"5,619","3,097",894,"25,623",0:04:05,5
/global/country14/region1/resort4,201705,"6,667","3,725",991,"30,202",0:03:57,10
/global/country14/region1/resort4,201701,"7,367","4,399","1,541","35,288",0:04:18,13
/global/country14/region1/resort4,201707,"7,452","3,997",965,"34,577",0:03:52,7
/global/country14/region1/resort4,201706,Null,"3,616",991,"29,659",0:03:47,7
/global/country14/region2,201710,"3,299","1,826",482,"16,297",0:04:16,2
/global/country14/region2,201709,"5,089","2,693",684,"24,631",0:03:59,2
/global/country14/region2,201702,"6,594","3,765",945,"32,442",0:04:35,4
/global/country14/region2,201703,"7,634","4,308","1,058","37,865",0:04:41,6
/global/country14/region2,201708,"8,357","4,378",986,"41,701",0:03:53,5
/global/country14/region2,201704,"8,738","4,768","1,166","43,166",0:04:28,4
