Landing Page,Month,Bounce rate,Avg session duration in mins,Percentage of new sessions,Conversion rate,New Users,Pages per visit,Sessions,Bounces,Pageviews,Transactions
/content14,Jan,23.89%,6,47.46%,0.08%,598,6.88,"1,260",301,"8,669",1
/content14,Mar,16.19%,7,48.12%,0.46%,422,7.38,877,142,"6,472",4
/content14,Feb,24.24%,5,46.94%,0.61%,723,6.21,"1,541",448,"9,083",9
/content14,May,14.95%,6,47.76%,0.37%,511,6.75,"1,070",160,"7,223",4
/content14,June,17.34%,6,47.49%,0.49%,482,6.32,"1,015",176,"6,415",5
/content19,May,16.93%,7,43.02%,0.74%,2328,7.59,"5,412",916,"41,077",40
/content19,Mar,16.74%,8,39.35%,0.95%,2581,7.49,"6,559","1,098","49,127",62
/content19,Feb,22.95%,7,42.53%,0.78%,2020,7.18,"4,750","1,090","34,105",37
/content19,Aug,23.01%,6,44.56%,0.79%,1795,6.54,"4,028",927,"26,343",32
/content19,Sept,24.04%,6,41.72%,0.63%,1666,6.07,"3,993",960,"24,238",25
/content19,April,16.84%,8,43.21%,1.12%,2120,8.49,"4,906",826,"41,652",55
/content19,Jan,23.57%,7,37.49%,0.69%,4547,6.64,"12,127","2,858","80,523",84
/content19,July,21.48%,6,43.87%,0.83%,2273,6.56,"5,181","1,113","33,987",43
/content19,Oct,28.30%,6,47.15%,0.68%,1663,5.72,"3,527",998,"20,174",24
/content19,June,19.05%,7,43.15%,1.01%,1962,6.87,"4,547",866,"31,238",46
/content20,April,21.40%,7,44.26%,0.96%,1915,7.03,"4,327",897,"31,021",42
/content20,Feb,20.28%,5,53.23%,0.07%,1630,5.35,"3,062",621,"16,382",2
/content20,May,21.05%,7,41.78%,0.72%,2514,6.47,"6,016","1,311","39,791",43
/content20,June,23.21%,6,41.93%,0.70%,2576,6.41,"6,142","1,360","40,341",43
/content20,Mar,21.79%,5,53.28%,0.17%,626,5.74,"1,175",256,"6,745",2
/content20,Jan,23.79%,5,57.63%,0.09%,1957,5.17,"3,396",808,"17,557",3
/content20,Aug,22.68%,5,58.24%,0.09%,647,5.14,"1,111",252,"5,711",1
/content20,Oct,24.30%,5,60.15%,0.05%,1230,5.11,"2,045",497,"10,450",1
/content20,July,23.40%,6,47.98%,0.60%,1559,5.92,"3,249",705,"20,438",20
/content20,Sept,23.49%,5,59.56%,0.34%,885,5.01,"1,486",349,"7,445",5
/content26,Sept,18.03%,6,49.21%,0.44%,1343,6.86,"2,729",492,"18,721",12
/content26,Mar,12.05%,7,46.93%,0.39%,2556,7.69,"5,446",656,"41,880",21
/content26,Oct,15.15%,7,48.75%,0.49%,898,7.11,"1,842",279,"13,097",9
/content26,July,14.02%,6,47.60%,0.09%,3103,6.93,"6,519",914,"45,177",6
/content26,Feb,13.80%,8,48.36%,0.26%,2239,8.95,"4,630",639,"41,439",12
/content26,Aug,13.12%,6,47.20%,0.29%,1803,7.42,"3,820",501,"28,344",11
/content26,June,12.59%,6,46.45%,0.22%,3003,6.91,"6,465",814,"44,673",14
/content26,April,12.46%,7,47.58%,0.32%,2653,7.56,"5,576",695,"42,155",18
/content26,Jan,13.89%,8,49.91%,0.30%,5155,8.63,"10,329","1,435","89,139",31
/content26,May,11.41%,7,46.82%,0.12%,3452,7.42,"7,373",841,"54,708",9
/content27,May,20.29%,5,50.94%,0.08%,3003,5.56,"5,895","1,196","32,776",5
/content27,July,19.10%,5,45.27%,0.12%,12931,5.16,"28,565","5,456","147,395",34
/content27,April,20.41%,5,52.65%,0.06%,1679,5.82,"3,189",651,"18,560",2
/content27,June,19.61%,5,48.29%,0.06%,4494,5.45,"9,306","1,825","50,718",6
/content27,Oct,15.88%,6,47.41%,0.16%,4241,6.66,"8,946","1,490","56,496",14
/content27,Mar,22.23%,5,50.72%,0.00%,1159,5.42,"2,285",508,"12,385",0
/content27,Jan,34.49%,4,51.35%,0.00%,2238,4.67,"4,358","1,503","20,352",0
/content27,Feb,30.47%,5,52.08%,0.00%,1856,5.15,"3,564","1,086","18,355",0
/content27,Aug,19.07%,5,47.91%,0.08%,5877,5.51,"12,266","2,339","67,586",10
/content27,Sept,24.20%,6,48.13%,0.28%,1207,5.45,"2,508",607,"13,669",7
/content3,Jan,25.47%,5,59.62%,0.15%,2336,5.35,"3,918",998,"20,961",6
/content3,Sept,23.54%,5,49.84%,0.09%,2787,5.5,"5,593","1,223","31,009",5
/content3,Feb,22.97%,5,56.32%,0.15%,2189,5.57,"3,887",893,"21,651",6
/content3,Aug,25.30%,5,51.20%,0.09%,2456,5.33,"4,797","1,145","25,746",4
/content3,April,26.78%,5,59.11%,0.42%,704,5.61,"1,191",319,"6,682",5
/content3,Mar,23.15%,5,56.37%,0.15%,2964,5.77,"5,258","1,217","30,339",8
/content3,July,24.54%,5,54.52%,0.14%,2239,5.52,"4,107",966,"22,731",6
/content3,June,24.55%,5,54.84%,0.15%,2111,5.56,"3,848",908,"21,430",6
/content3,May,24.75%,5,55.66%,0.17%,2004,5.62,"3,601",852,"20,295",6
/content3,Oct,30.75%,5,60.34%,0.00%,630,5.08,"1,044",321,"5,304",0
/content4,Mar,17.19%,6,53.14%,0.06%,915,6.4,"1,722",296,"11,021",1
/content4,July,20.79%,5,49.79%,0.08%,5440,5.78,"10,926","2,272","63,152",9
/content4,Feb,23.74%,5,53.05%,0.11%,505,5.83,952,226,"5,550",1
/content4,May,19.12%,6,55.00%,0.13%,2129,6.32,"3,871",740,"24,465",5
/content4,June,19.39%,5,53.97%,0.07%,2909,5.83,"5,390","1,045","31,424",4
/content4,Aug,24.70%,4,51.80%,0.06%,2659,5.63,"5,133","1,268","28,899",3
/content4,April,19.21%,5,56.77%,0.04%,1359,6.41,"2,394",460,"15,346",1
/content4,Jan,20.59%,5,52.38%,0.08%,2274,6.03,"4,341",901,"25,694",3
/content4,Oct,21.72%,5,52.61%,0.08%,2091,5.92,"3,975",836,"23,428",3
/content4,Sept,21.16%,5,52.37%,0.08%,2421,5.97,"4,623",968,"27,245",4
/content7,Feb,56.76%,3,50.72%,0.48%,420,3.35,828,470,"2,774",4
/content7,Sept,25.65%,5,53.36%,0.09%,1793,5.67,"3,360",743,"19,697",3
/content7,June,45.14%,3,51.45%,0.17%,619,3.72,"1,203",543,"4,475",2
/content7,July,53.56%,2,55.80%,0.28%,996,3.2,"1,785",956,"5,712",5
/content7,April,43.80%,4,53.16%,0.51%,420,4.38,790,346,"3,460",4
/content7,Jan,60.66%,3,49.97%,1.10%,724,3.4,"1,449",879,"4,927",16
/content7,Oct,61.46%,3,42.34%,0.18%,713,3.16,"1,684","1,035","5,321",3
/content7,Mar,47.68%,4,51.32%,1.13%,409,4.37,797,380,"3,483",9
/content7,Aug,59.01%,2,56.75%,0.08%,731,3.4,"1,288",760,"4,379",1
/content7,May,45.59%,4,53.98%,0.51%,631,4.21,"1,169",533,"4,921",6
/content8,Jan,36.61%,5,20.25%,0.92%,1556,5.94,"7,683","2,813","45,637",71
/content8,Sept,37.10%,4,22.53%,0.33%,2662,5.18,"11,817","4,384","61,212",39
/content8,May,38.87%,5,21.11%,0.39%,2755,6.06,"13,053","5,074","79,101",51
/content8,Mar,39.10%,5,21.94%,0.51%,1769,5.96,"8,064","3,153","48,061",41
/content8,June,39.72%,5,21.42%,0.25%,2988,5.74,"13,952","5,542","80,084",35
/content8,July,36.26%,5,22.10%,0.28%,3323,5.8,"15,034","5,451","87,197",42
/content8,Aug,36.47%,5,21.87%,0.40%,2896,5.55,"13,244","4,830","73,504",53
/content8,Oct,35.81%,5,21.70%,0.28%,3612,3.23,"16,643","5,960","53,789",46
/content8,Feb,38.02%,5,20.00%,0.57%,1407,5.97,"7,036","2,675","42,005",40
/content8,April,38.16%,5,21.02%,0.50%,1926,5.93,"9,163","3,497","54,337",46
/content9,Oct,28.58%,4,60.23%,0.09%,3894,4.58,"6,465","1,848","29,610",6
/content9,Mar,29.98%,4,50.12%,0.00%,408,5.08,814,244,"4,135",0
/content9,Jan,33.55%,4,52.24%,0.00%,816,5,"1,562",524,"7,810",0
/content9,Sept,31.54%,4,57.25%,0.02%,2880,4.48,"5,031","1,587","22,539",1
/content9,May,30.97%,4,50.74%,0.00%,652,4.96,"1,285",398,"6,374",0
/content9,Aug,31.02%,4,54.97%,0.10%,2261,4.44,"4,113","1,276","18,262",4
/content9,Feb,35.50%,3,51.27%,0.10%,504,4.64,983,349,"4,561",1
/content9,April,35.39%,5,21.99%,0.51%,1247,5.66,"5,671","2,139","33,492",29
/content9,July,32.36%,3,53.85%,0.03%,1671,4.47,"3,103","1,004","13,870",1
/content9,June,29.09%,4,50.75%,0.05%,984,4.98,"1,939",564,"9,656",1
/global,April,39.64%,4,61.92%,0.04%,7111,4.75,"11,484","4,552","54,549",5
/global,Oct,49.35%,2,70.51%,0.00%,4592,3.53,"6,513","3,214","22,991",0
/global,Mar,41.34%,4,64.43%,0.05%,8223,4.6,"12,763","5,276","58,710",7
/global,Aug,45.55%,3,64.36%,0.03%,6361,4.02,"9,883","4,502","39,730",3
/global,July,45.88%,3,62.96%,0.03%,9871,4.04,"15,679","7,194","63,343",4
/global,May,40.11%,4,60.72%,0.06%,7564,4.8,"12,457","4,997","59,794",7
/global,Feb,39.82%,3,59.76%,0.07%,5008,4.51,"8,379","3,556","37,043",6
/global,June,43.29%,3,62.78%,0.08%,7153,4.22,"11,394","4,932","48,083",9
/global,Jan,39.45%,4,60.98%,0.06%,12583,4.46,"20,633","8,140","92,023",12
/global,Sept,50.01%,3,68.85%,0.01%,4746,3.52,"6,893","3,447","24,263",1
/global/country1/region1,May,13.23%,4,52.04%,0.03%,1872,5.37,"3,597",476,"19,316",1
/global/country1/region1,June,10.52%,4,52.20%,0.06%,1781,5.34,"3,412",359,"18,220",2
/global/country1/region1,April,15.16%,4,56.00%,0.02%,2328,5.24,"4,157",630,"21,783",1
/global/country1/region1,Jan,18.27%,4,56.06%,0.03%,1850,5.32,"3,300",603,"17,556",1
/global/country1/region1,Aug,7.75%,5,49.97%,0.09%,1612,5.7,"3,226",250,"18,388",3
/global/country1/region1,Sept,8.00%,4,54.37%,0.03%,1678,5.52,"3,086",247,"17,035",1
/global/country1/region1,Mar,15.20%,5,54.28%,0.00%,1775,5.23,"3,270",497,"17,102",0
/global/country1/region1,Oct,7.63%,4,55.85%,0.04%,1595,5.57,"2,856",218,"15,908",1
/global/country1/region1,Feb,16.04%,5,55.17%,0.00%,1307,5.2,"2,369",380,"12,319",0
/global/country1/region1,July,9.04%,5,51.44%,0.08%,1906,5.65,"3,705",335,"20,933",3
/global/country11,Mar,22.30%,4,50.22%,0.11%,39952,5.1,"79,553","17,740","405,720",84
/global/country11,June,15.82%,5,48.95%,0.11%,39630,5.16,"80,953","12,807","417,717",93
/global/country11,Feb,29.42%,4,49.77%,0.07%,50062,4.65,"100,591","29,594","467,748",74
/global/country11,July,14.56%,4,16.57%,0.09%,17238,5.34,"104,034","15,147","555,542",96
/global/country11,May,15.13%,5,49.59%,0.09%,49962,5.37,"100,745","15,243","541,001",94
/global/country11,Jan,29.34%,4,51.35%,0.07%,68161,5.05,"132,740","38,946","670,337",98
/global/country11,Oct,19.78%,5,52.99%,0.09%,12339,5.17,"23,286","4,606","120,389",22
/global/country11,Aug,15.17%,5,49.31%,0.10%,29834,5.57,"60,501","9,178","336,991",59
/global/country11,April,16.59%,5,49.74%,0.12%,36739,5.44,"73,864","12,254","401,820",91
/global/country11,Sept,17.54%,5,50.97%,0.12%,16072,5.42,"31,531","5,531","170,898",39
/global/country11/region1,Feb,19.28%,5,47.27%,0.28%,5152,4.96,"10,898","2,101","54,054",30
/global/country11/region1,Aug,10.50%,5,44.28%,0.19%,1818,5.5,"4,106",431,"22,583",8
/global/country11/region1,Jan,20.67%,5,47.89%,0.30%,7177,5.23,"14,986","3,098","78,377",45
/global/country11/region1,May,21.36%,6,46.12%,0.32%,2438,5.59,"5,286","1,129","29,549",17
/global/country11/region1,Sept,11.68%,6,47.44%,0.24%,983,5.84,"2,072",242,"12,100",5
/global/country11/region1,April,14.55%,5,47.21%,0.38%,4005,5.18,"8,484","1,234","43,947",32
/global/country11/region1,July,10.36%,5,42.72%,0.37%,2285,5.45,"5,349",554,"29,152",20
/global/country11/region1,Oct,14.86%,6,49.61%,0.35%,701,5.58,"1,413",210,"7,885",5
/global/country11/region1,Mar,16.36%,5,48.49%,0.33%,5026,5.03,"10,364","1,696","52,131",34
/global/country11/region1,June,10.79%,5,44.40%,0.34%,2460,5.43,"5,540",598,"30,082",19
/global/country11/region10,Mar,18.83%,4,49.33%,0.21%,6629,4.74,"13,439","2,531","63,701",28
/global/country11/region10,June,14.52%,3,47.28%,0.19%,8450,4.69,"17,872","2,595","83,820",34
/global/country11/region10,Sept,14.45%,4,50.73%,0.10%,4567,4.91,"9,002","1,301","44,200",9
/global/country11/region10,Oct,14.64%,4,54.00%,0.12%,3043,5.03,"5,635",825,"28,344",7
/global/country11/region10,May,14.88%,4,48.16%,0.15%,8762,4.84,"18,195","2,707","88,064",27
/global/country11/region10,Feb,19.89%,4,49.04%,0.21%,7488,4.77,"15,269","3,037","72,833",32
/global/country11/region10,Aug,13.06%,3,46.97%,0.17%,6714,4.88,"14,294","1,867","69,755",24
/global/country11/region10,April,15.73%,4,48.55%,0.22%,6514,4.88,"13,416","2,110","65,470",30
/global/country11/region10,Jan,22.28%,4,51.53%,0.23%,14176,5.05,"27,509","6,129","138,920",63
/global/country11/region10,July,14.08%,3,47.71%,0.16%,9290,4.77,"19,471","2,742","92,877",32
/global/country11/region10/resort2,Feb,19.02%,5,44.14%,0.21%,629,5.12,"1,425",271,"7,296",3
/global/country11/region10/resort2,Aug,25.63%,4,47.85%,0.13%,379,4.52,792,203,"3,580",1
/global/country11/region10/resort2,April,15.59%,4,44.20%,0.17%,533,5.23,"1,206",188,"6,307",2
/global/country11/region10/resort2,Sept,18.16%,4,48.96%,0.20%,5715,4.9,"11,673","2,068","57,130",23
/global/country11/region10/resort2,June,16.12%,3,44.39%,0.20%,661,4.52,"1,489",240,"6,730",3
/global/country11/region10/resort2,July,20.23%,3,45.53%,0.15%,621,4.48,"1,364",276,"6,111",2
/global/country11/region10/resort2,Mar,16.41%,5,46.62%,0.37%,628,5.42,"1,347",221,"7,301",5
/global/country11/region10/resort2,Jan,16.43%,6,47.38%,0.14%,1355,6.15,"2,860",470,"17,589",4
/global/country11/region10/resort2,May,14.96%,4,43.98%,0.30%,585,4.98,"1,330",199,"6,623",4
/global/country11/region10/resort2,Oct,18.06%,4,47.29%,0.20%,1234,5.04,"2,610",460,"13,185",5
/global/country11/region2,June,14.17%,4,44.60%,0.19%,8828,4.76,"19,794","2,805","94,219",38
/global/country11/region2,Feb,20.22%,5,50.16%,0.22%,7054,4.82,"14,063","2,844","67,784",31
/global/country11/region2,July,13.33%,5,45.78%,0.25%,7781,4.99,"16,995","2,265","84,805",42
/global/country11/region2,April,15.11%,5,48.92%,0.23%,7163,5.08,"14,643","2,213","74,386",34
/global/country11/region2,Oct,18.27%,5,49.85%,0.28%,2475,5,"4,965",907,"24,825",14
/global/country11/region2,May,15.20%,5,45.95%,0.18%,9248,4.83,"20,126","3,059","97,209",37
/global/country11/region2,Sept,14.01%,5,48.18%,0.32%,4112,5.16,"8,534","1,196","44,035",27
/global/country11/region2,Mar,20.28%,5,52.72%,0.23%,7112,4.81,"13,491","2,736","64,892",31
/global/country11/region2,Jan,22.03%,5,51.70%,0.17%,10684,5.09,"20,665","4,552","105,185",36
/global/country11/region2,Aug,12.90%,5,46.05%,0.15%,5982,5.07,"12,991","1,676","65,864",20
/global/country11/region2/resort1,Mar,18.35%,5,47.05%,0.42%,446,4.67,948,174,"4,427",4
/global/country11/region2/resort1,Jan,22.88%,4,47.13%,0.60%,550,4.29,"1,167",267,"5,006",7
/global/country11/region2/resort1,Feb,16.34%,5,44.69%,0.69%,391,4.49,875,143,"3,929",6
/global/country11/region2/resort1,Sept,12.62%,5,46.75%,0.96%,389,4.59,832,105,"3,819",8
/global/country11/region2/resort1,April,14.77%,5,48.42%,0.29%,505,4.93,"1,043",154,"5,142",3
/global/country11/region2/resort1,July,14.83%,4,43.52%,0.22%,584,4.54,"1,342",199,"6,093",3
/global/country11/region2/resort1,May,16.10%,4,47.26%,0.40%,596,4.33,"1,261",203,"5,460",5
/global/country11/region2/resort1,Oct,16.76%,5,48.94%,0.22%,2236,4.67,"4,569",830,"22,769",10
/global/country11/region2/resort1,Aug,10.14%,4,43.95%,0.18%,494,4.83,"1,124",114,"5,429",2
/global/country11/region2/resort1,June,15.61%,4,44.71%,0.30%,587,4.43,"1,313",205,"5,817",4
/global/country11/region2/resort2,Feb,19.85%,5,48.09%,0.08%,567,5.28,"1,179",234,"6,225",1
/global/country11/region2/resort2,Oct,15.22%,5,46.90%,0.31%,705,4.68,"1,504",243,"7,187",5
/global/country11/region2/resort2,Jan,24.11%,4,48.90%,0.10%,3037,4.9,"6,210","1,497","30,429",6
/global/country11/region2/resort2,Mar,18.02%,5,47.50%,0.26%,551,5.37,"1,160",209,"6,229",3
/global/country11/region2/resort2,May,14.71%,4,49.29%,0.30%,660,5.36,"1,339",197,"7,177",4
/global/country11/region2/resort2,Aug,15.84%,4,51.45%,0.00%,445,5.09,865,137,"4,403",0
/global/country11/region2/resort2,June,15.98%,4,50.61%,0.06%,874,4.98,"1,727",276,"8,600",1
/global/country11/region2/resort2,July,16.16%,3,51.42%,0.10%,996,4.86,"1,937",313,"9,414",2
/global/country11/region2/resort2,April,16.83%,5,49.78%,0.09%,568,5.18,"1,141",192,"5,910",1
/global/country11/region2/resort2,Sept,17.11%,4,49.34%,0.14%,980,5.05,"1,985",383,"9,919",3
/global/country11/region3,Jan,23.44%,5,50.00%,0.08%,1278,5.11,"2,556",599,"13,061",2
/global/country11/region3,June,17.82%,4,47.11%,0.20%,1158,4.85,"2,458",438,"11,921",5
/global/country11/region3,April,21.57%,4,48.73%,0.22%,1096,4.86,"2,249",485,"10,930",5
/global/country11/region3,Aug,19.26%,4,47.29%,0.00%,889,5.04,"1,880",362,"9,475",0
/global/country11/region3,July,20.71%,4,48.06%,0.11%,1302,4.64,"2,709",561,"12,570",3
/global/country11/region3,Sept,20.27%,3,46.15%,0.09%,510,4.64,"1,105",224,"5,127",1
/global/country11/region3,Oct,22.88%,4,49.63%,0.25%,397,4.52,800,183,"3,616",2
/global/country11/region3,Feb,21.53%,5,48.40%,0.00%,935,4.97,"1,932",416,"9,602",0
/global/country11/region3,May,19.58%,4,47.83%,0.07%,1346,4.78,"2,814",551,"13,451",2
/global/country11/region3,Mar,21.51%,5,45.96%,0.33%,842,4.81,"1,832",394,"8,812",6
/global/country11/region4,Mar,16.90%,4,51.96%,0.39%,3618,4.68,"6,963","1,177","32,587",27
/global/country11/region4,June,15.41%,4,51.25%,0.24%,5511,4.55,"10,753","1,657","48,926",26
/global/country11/region4,May,15.83%,4,51.59%,0.15%,5356,4.69,"10,381","1,643","48,687",16
/global/country11/region4,Aug,13.24%,4,50.08%,0.27%,4508,4.92,"9,001","1,192","44,285",24
/global/country11/region4,Oct,17.55%,4,51.29%,0.20%,1546,4.64,"3,014",529,"13,985",6
/global/country11/region4,Feb,18.34%,4,51.48%,0.18%,4360,4.6,"8,469","1,553","38,957",15
/global/country11/region4,July,15.11%,3,50.97%,0.20%,6127,4.69,"12,021","1,816","56,378",24
/global/country11/region4,Jan,19.84%,4,55.35%,0.31%,5107,4.81,"9,226","1,830","44,377",29
/global/country11/region4,Sept,14.81%,3,49.96%,0.24%,2516,4.73,"5,036",746,"23,820",12
/global/country11/region4,April,15.41%,4,52.34%,0.28%,4594,4.86,"8,778","1,353","42,661",25
/global/country11/region5,Sept,11.83%,4,40.43%,0.27%,1630,5.47,"4,032",477,"22,055",11
/global/country11/region5,May,14.33%,4,42.85%,0.16%,2683,4.88,"6,261",897,"30,554",10
/global/country11/region5,Mar,14.72%,4,45.25%,0.40%,1596,5.02,"3,527",519,"17,706",14
/global/country11/region5,Oct,16.31%,4,45.96%,0.08%,1116,5.12,"2,428",396,"12,431",2
/global/country11/region5,Aug,10.55%,4,40.74%,0.22%,2258,5.3,"5,543",585,"29,378",12
/global/country11/region5,Jan,18.52%,5,47.31%,0.16%,2747,5.45,"5,806","1,075","31,643",9
/global/country11/region5,July,14.18%,3,44.92%,0.21%,4209,4.77,"9,370","1,329","44,695",20
/global/country11/region5,Feb,18.06%,4,45.96%,0.44%,1769,4.79,"3,849",695,"18,437",17
/global/country11/region5,June,13.60%,4,41.35%,0.18%,3432,4.85,"8,299","1,129","40,250",15
/global/country11/region5,April,14.03%,4,48.37%,0.21%,2045,4.94,"4,228",593,"20,886",9
/global/country11/region6,April,19.50%,4,52.66%,0.11%,2935,4.75,"5,573","1,087","26,472",6
/global/country11/region6,June,14.14%,4,52.12%,0.06%,2522,4.77,"4,839",684,"23,082",3
/global/country11/region6,Mar,22.33%,4,54.56%,0.13%,3797,4.46,"6,959","1,554","31,037",9
/global/country11/region6,Feb,24.19%,4,54.16%,0.13%,4089,4.39,"7,550","1,826","33,145",10
/global/country11/region6,July,13.94%,3,51.84%,0.06%,2622,4.83,"5,058",705,"24,430",3
/global/country11/region6,Aug,12.62%,3,52.79%,0.06%,1853,4.88,"3,510",443,"17,129",2
/global/country11/region6,May,14.35%,4,54.33%,0.15%,1757,4.94,"3,234",464,"15,976",5
/global/country11/region6,Oct,16.95%,4,56.15%,0.00%,1027,4.72,"1,829",310,"8,633",0
/global/country11/region6,Sept,13.79%,3,55.50%,0.13%,1674,4.75,"3,016",416,"14,326",4
/global/country11/region6,Jan,21.70%,4,55.25%,0.10%,5495,4.94,"9,945","2,158","49,128",10
/global/country11/region7,Mar,14.49%,5,45.44%,0.38%,2998,5.16,"6,598",956,"34,046",25
/global/country11/region7,Feb,18.18%,5,44.66%,0.41%,3368,4.94,"7,541","1,371","37,253",31
/global/country11/region7,Jan,21.48%,5,46.80%,0.35%,4970,5.19,"10,620","2,281","55,118",37
/global/country11/region7,Sept,13.66%,5,45.10%,0.34%,2357,5.31,"5,226",714,"27,750",18
/global/country11/region7,April,14.22%,5,45.29%,0.27%,3160,5.26,"6,978",992,"36,704",19
/global/country11/region7,Oct,16.20%,4,45.42%,0.20%,1553,5.04,"3,419",554,"17,232",7
/global/country11/region7,June,14.76%,4,43.76%,0.22%,4043,4.85,"9,239","1,364","44,809",20
/global/country11/region7,Aug,13.35%,4,42.60%,0.26%,3432,5.18,"8,057","1,076","41,735",21
/global/country11/region7,May,14.24%,5,45.34%,0.44%,3994,5.13,"8,809","1,254","45,190",39
/global/country11/region7,July,14.09%,4,43.80%,0.25%,4646,4.99,"10,607","1,495","52,929",27
/global/country11/region7/resort1,Mar,19.00%,4,49.17%,0.08%,621,4.59,"1,263",240,"5,797",1
/global/country11/region7/resort1,Sept,20.70%,3,53.78%,0.08%,647,4.38,"1,203",249,"5,269",1
/global/country11/region7/resort1,Feb,18.81%,4,48.17%,0.00%,630,4.68,"1,308",246,"6,121",0
/global/country11/region7/resort1,Oct,16.15%,4,44.66%,0.27%,2525,4.9,"5,654",830,"28,421",15
/global/country11/region7/resort1,April,18.46%,4,49.21%,0.22%,685,4.53,"1,392",257,"6,306",3
/global/country11/region7/resort1,Jan,17.02%,5,49.26%,0.16%,900,5.18,"1,827",311,"9,464",3
/global/country11/region7/resort1,June,19.55%,4,49.17%,0.13%,767,4.41,"1,560",305,"6,880",2
/global/country11/region7/resort1,Aug,23.22%,3,51.55%,0.13%,817,4.27,"1,585",368,"6,768",2
/global/country11/region7/resort1,July,17.73%,4,46.57%,0.06%,788,4.5,"1,692",300,"7,614",1
